Roll no.,Name Surname,Age,Gender,Students id,Grade,Email,Phone,Major
221,Refet Şensoy,30,Female,611675862,1.52,refetsensoy@itu.edu.tr,05479458072,Textile Engineering
178,Vedat Çetin,19,Male,824158293,2.01,vedatcetin@itu.edu.tr,05079254760,Geological Engineering
299,Ümmet Güçlü,26,Male,457957355,3.55,ummetguclu@itu.edu.tr,05017484176,Naval Construction and Ship Machinery Engineering
263,Fatih Eraslan,18,Male,479330589,0.25,fatiheraslan@itu.edu.tr,05505015329,Electronics and Communications Engineering
200,Müfit Mansız,29,Male,364932700,0.68,mufitmansiz@itu.edu.tr,05316827408,Interior Architecture
273,Şelâle Gülen,23,Female,549528492,3.4,selâlegulen@itu.edu.tr,05476893973,Computer Engineering
229,Şahat Tevetoğlu,26,Male,438933662,2.53,sahattevetoglu@itu.edu.tr,05508650716,Maritime Transportation Management Engineering
70,Fetullah Şama,25,Male,543966475,1.57,fetullahsama@itu.edu.tr,05327703898,Economy
94,Yaşar Erdoğan,23,Female,379930853,2.62,yasarerdogan@itu.edu.tr,05816961856,Geomatic Engineering
75,Songurkan Akar,26,Male,681787495,2.93,songurkanakar@itu.edu.tr,05873864750,Artificial Intelligence and Data Engineering
157,Ferinaz Bilgin,22,Female,145366604,0.26,ferinazbilgin@itu.edu.tr,05544928940,Naval Construction and Ship Machinery Engineering
230,Evde Tarhan,18,Female,860140663,1.51,evdetarhan@itu.edu.tr,05094932662,Interior Architecture
163,Över Yaman,25,Male,213913586,1.66,overyaman@itu.edu.tr,05883802344,Chemical Engineering
177,Sebigül Zorlu,20,Female,553118836,1.42,sebigulzorlu@itu.edu.tr,05840621216,Mechanical Engineering
7,Kelâmi Aksu,29,Male,806606773,3.24,kelâmiaksu@itu.edu.tr,05053802464,Architecture
185,Arziye Çamurcuoğlu,29,Female,864070082,1.92,arziyecamurcuoglu@itu.edu.tr,05795568884,City and Region Planning
170,Hümeyra Şensoy,26,Female,396026321,0.01,humeyrasensoy@itu.edu.tr,05353714455,Meteorological Engineering
197,Salkın Yüksel,20,Male,498015817,1.46,salkinyuksel@itu.edu.tr,05280904300,Civil Engineering
199,Afer Çamurcuoğlu,27,Male,360456454,1.84,afercamurcuoglu@itu.edu.tr,05513675563,Geological Engineering
198,Behiza Demirel,23,Female,306440093,2.02,behizademirel@itu.edu.tr,05385719192,Ship Machinery Management Engineering
278,Dilsitan Sezgin,25,Female,243792663,2.44,dilsitansezgin@itu.edu.tr,05125949248,Ship and Marine Technology Engineering
222,Anka Bilir,26,Female,222549509,2.99,ankabilir@itu.edu.tr,05550517354,Aircraft Engineering
237,Öncel Çetin,20,Female,519711588,1.71,oncelcetin@itu.edu.tr,05601934351,Naval Construction and Ship Machinery Engineering
42,Bezek Gülen,24,Female,305107055,1.33,bezekgulen@itu.edu.tr,05836717012,Interior Architecture
264,Mesude Hançer,24,Female,624279341,1.35,mesudehancer@itu.edu.tr,05537203900,Artificial Intelligence and Data Engineering
193,Basım Tevetoğlu,29,Male,473657160,0.74,basimtevetoglu@itu.edu.tr,05640894666,Computer Engineering
247,Selvi Tarhan,26,Male,251792092,1.02,selvitarhan@itu.edu.tr,05357417756,Mineral Processing Engineering
124,Zubeyde Çorlu,23,Female,349329360,3.09,zubeydecorlu@itu.edu.tr,05687781440,Metallurgy and Materials Engineering
53,Çıvgın Sezgin,27,Male,636363265,2.28,civginsezgin@itu.edu.tr,05735471780,Architecture
173,Erkinel Yıldırım,24,Male,353798269,1.27,erkinelyildirim@itu.edu.tr,05987544666,Industrial Products Engineering
38,Narhanim Ülker,27,Female,580219402,3.76,narhanimulker@itu.edu.tr,05563352573,Textile Development and Marketing
219,Aygönenç Aslan,17,Female,833348800,1.07,aygonencaslan@itu.edu.tr,05665796965,Physics Engineering
13,Sırriye Kısakürek,19,Female,585217734,2.3,sirriyekisakurek@itu.edu.tr,05308119435,Textile Development and Marketing
23,Dilara Ergül,26,Female,514790128,3.92,dilaraergul@itu.edu.tr,05524558075,Textile Development and Marketing
216,Hürüyet İhsanoğlu,30,Female,795421525,2.35,huruyeti̇hsanoglu@itu.edu.tr,05596021322,Artificial Intelligence and Data Engineering
17,Muhiye Şener,20,Female,741326122,1.51,muhiyesener@itu.edu.tr,05178355846,Industrial Engineering
40,Ahsen Gül,27,Male,776233000,1.34,ahsengul@itu.edu.tr,05905730920,Mineral Processing Engineering
169,Meleknur Arslan,17,Female,918029274,3.64,meleknurarslan@itu.edu.tr,05054396472,Interior Architecture
128,Aşir Manço,25,Male,951887797,2.91,asirmanco@itu.edu.tr,05158001454,Textile Development and Marketing
291,Eba Yılmaz,29,Male,745780167,0.13,ebayilmaz@itu.edu.tr,05399433789,Molecular Biology and Genetics
284,Erem Yılmaz,27,Female,996900327,0.85,eremyilmaz@itu.edu.tr,05739267227,Chemical Engineering
287,Özay Soylu,20,Female,492009232,3.15,ozaysoylu@itu.edu.tr,05425060138,Industrial Engineering
175,Şerafeddin Çamurcuoğlu,20,Male,774254929,1.67,serafeddincamurcuoglu@itu.edu.tr,05723008064,Industrial Engineering
282,Niğmet Arsoy,28,Female,596983401,1.84,nigmetarsoy@itu.edu.tr,05299528541,Electrical Engineering
260,Feyzin Yorulmaz,21,Female,234435911,2.51,feyzinyorulmaz@itu.edu.tr,05639846254,Chemical Engineering
71,Mecide Korutürk,28,Female,120627740,3.64,mecidekoruturk@itu.edu.tr,05606509662,Industrial Products Engineering
4,Yurtgüven Gülen,29,Male,220530926,2.72,yurtguvengulen@itu.edu.tr,05847964861,Naval Construction and Ship Machinery Engineering
279,Sidar Seven,28,Female,737840357,2.07,sidarseven@itu.edu.tr,05420913915,Meteorological Engineering
97,Aksay Şensoy,25,Male,183470397,0.16,aksaysensoy@itu.edu.tr,05726377784,Astronautical Engineering
161,Yurdaser Öcalan,25,Female,930639079,2.54,yurdaserocalan@itu.edu.tr,05821075456,Petroleum and Natural Gas Engineering
79,Ervaniye Mansız,17,Female,806884976,0.66,ervaniyemansiz@itu.edu.tr,05970922250,Molecular Biology and Genetics
252,Vildane Akçay,30,Female,106592791,3.95,vildaneakcay@itu.edu.tr,05710599412,Mechanical Engineering
300,Hıfzullah Akgündüz,21,Male,862018700,3.61,hifzullahakgunduz@itu.edu.tr,05244977696,Industrial Engineering
100,Minibe Hançer,22,Female,211261685,0.7,minibehancer@itu.edu.tr,05712116465,Chemical Engineering
153,Beriye Akçay,25,Female,704591742,1.65,beriyeakcay@itu.edu.tr,05207059649,Mechanical Engineering
91,Rahmet Arslan,19,Male,870547397,1.9,rahmetarslan@itu.edu.tr,05765965321,Computer Engineering
211,Şabettin Hayrioğlu,28,Male,383882543,0.27,sabettinhayrioglu@itu.edu.tr,05831305841,Management Engineering
181,Gülfari Bilge,26,Female,470885542,1.91,gulfaribilge@itu.edu.tr,05172847901,Environmental Engineering
44,Semender Mansız,29,Male,849786964,2.11,semendermansiz@itu.edu.tr,05178377595,Computer Engineering
301,Ömer Faruk Zeybek,21,Male,150220743,4.0,omerfarukzeybek@itu.edu.tr,15442848815,Artificial Intelligence And Data Engineering
302,Yusuf Inci,21,Male,130210022,2.52,inci21@itu.edu.tr,15380444522,Mechanical Engineering
